CREA-GO  |  Mapeamento de Assuntos do MED → Tabela de Temporalidade e Destinação (TTDD),,,,,,,,,
Versão de referência TTDD: Atividades-Meio (2024) e Atividades-Fim (2019)  |  Elaborado por: Erica Aihara — DPO/CREA-GO  |  Versão 3 — Março 2026,,,,,,,,,
ASSUNTO (MED),"CÓDIGO
TTDD","TABELA
(Meio/Fim)",DESCRITOR TTDD,PRAZO CORRENTE,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DO INTERMEDIÁRIO",PRAZO INTERMEDIÁRIO,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DA ELIMINAÇÃO",DESTINAÇÃO FINAL,OBSERVAÇÃO / VALIDAÇÃO DPO
Sistema de Registro de Preços,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Solicitação - Ouvidoria,002.31,Meio,TRATAMENTO DE MANIFESTAÇÃO,5 anos,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Solicitações das Inspetorias - Assessoria Institucional/Interior,015.2,Meio,ACOMPANHAMENTO DAS ATIVIDADES,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Suprimento de Fundos,031.11,Meio,MATERIAL PERMANENTE,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Confirmado TTDD Meio 2024: código 031.11, intermediário 5 anos após RG."
Taxa Especial p/ ART,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Termo de Confissão de Dívida - Financeiro,052.211,Meio,RECEITA CORRENTE,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Termo de Reciprocidade Para Cadastramento de Processo,001,Meio,RELAÇÃO INTERINSTITUCIONAL,Até encerramento definitivo*,Data de encerramento definitivo (sem renovação),20 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Tomada de Preços,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Visto em Registro de Pessoa Jurídica,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Visto em Registro de Profissional,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
,,,,,,,,,
"* Financeiros (018.x, 052.x, 051.x, 028.x, 023.x grup. auxílios, 026.x, 031.x, 422): corrente encerra com aprovação do RG pelo Plenário. Intermediário conforme TTDD Meio 2024. Tabela de referência anual na aba 'Ref. Anual RG'. Laranja = linha corrigida ou confirmada na revisão v3 com base na TTDD Meio 2024.",,,,,,,,,
