CREA-GO  |  Mapeamento de Assuntos do MED → Tabela de Temporalidade e Destinação (TTDD),,,,,,,,,
Versão de referência TTDD: Atividades-Meio (2024) e Atividades-Fim (2019)  |  Elaborado por: Erica Aihara — DPO/CREA-GO  |  Versão 3 — Março 2026,,,,,,,,,
ASSUNTO (MED),"CÓDIGO
TTDD","TABELA
(Meio/Fim)",DESCRITOR TTDD,PRAZO CORRENTE,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DO INTERMEDIÁRIO",PRAZO INTERMEDIÁRIO,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DA ELIMINAÇÃO",DESTINAÇÃO FINAL,OBSERVAÇÃO / VALIDAÇÃO DPO
Certidão de Obras/Serviços Anotados,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Com valor previdenciário: 52 anos.
Certidão de Registro e Quitação - Empresa,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão de Registro e Quitação - Profissional,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão de Visto de Pessoa Jurídica,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão Específica - Sem Registro,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão Específica de Georreferenciamento,251,Fim,SOLICITAÇÃO DE ACERVO TÉCNICO,01 ano,Data de envio ao arquivo digital (escaninho padrão),20 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão Específica de Obras,251,Fim,SOLICITAÇÃO DE ACERVO TÉCNICO,01 ano,Data de envio ao arquivo digital (escaninho padrão),20 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão Específica de Pessoa Jurídica,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão Específica de Profissional,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão Negativa de Obras/Serviços Anotados,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
